# scope: final; corpus: Draugas 1909-2007; generated: 2026-07-19; lane: draugas-parish-registry-1909-2007; gazetteer config-as-truth; +county,+geo_disambiguator (additive); NOT a unified-build ingest input
parish_key,country,city,state,titular_lt,titular_en_key,city_stems,titular_stems,c83_row,cand_idx,status,founded,closed,source,notes,county,geo_disambiguator
st-francis-wilkes-barre-pa,US,Wilkes-Barre,PA,Šv. Pranciškaus,st. francis,wilkes-barre|wilkes|vilkes,prancisk|pranciszk,,25,repurposed,1918,2008,candidate-137,,Luzerne,
all-saints-wilkes-barre-pa,US,Wilkes-Barre,PA,Visų Šventųjų,all saints,wilkes-barre|wilkes|vilkes,sventuju|szventuju,,26,closed,1932,,candidate-137,,Luzerne,
st-casimir-wilkes-barre-pa,US,Wilkes-Barre,PA,Šv. Kazimiero,st. casimir,wilkes-barre|wilkes|vilkes,kazimier,,27,standing,1957,,candidate-137,,Luzerne,
ss-peter-and-paul-sugar-notch-pa,US,Sugar Notch,PA,Šv. Petro ir Povilo,ss. peter and paul,sugar notch,povil,,28,standing,1913,,candidate-137,,Luzerne,near Wilkes-Barre
st-mary-wanamie-pa,US,Wanamie,PA,Šv. Marijos,st. mary,wanamie,marijos,,30,closed,1925,,candidate-137,,Luzerne,near Nanticoke
lithuanian-church-chester-pa,US,Chester,PA,Lietuvių bažnyčia (unnamed),lithuanian church,chester,,,35,demolished,,1972,candidate-137,,Delaware,
ascension-pittsburgh-pa,US,Pittsburgh,PA,Dangun Žengimo,ascension,pittsburgh|pitsburg|pittsburg,dangun,,38,demolished,1906,1962,candidate-137,,Allegheny,
st-isidore-braddock-pa,US,Braddock,PA,Šv. Izidoriaus,st. isidore,braddock,izidor,,39,repurposed,1918,1985,candidate-137,,Allegheny,near Pittsburgh
ss-peter-and-paul-homestead-pa,US,Homestead,PA,Šv. Petro ir Povilo,ss. peter and paul,homestead,povil,,40,closed,1901,1992,candidate-137,,Allegheny,near Pittsburgh
st-anthony-bridgeville-pa,US,Bridgeville,PA,Šv. Antano,st. anthony,bridgeville,antan,,41,demolished,1915,2007,candidate-137,,Allegheny,near Pittsburgh
st-joseph-donora-pa,US,Donora,PA,Šv. Juozapo,st. joseph,donora,juozap,,42,demolished,1906,1963,candidate-137,,Washington,
st-luke-bentleyville-pa,US,Bentleyville,PA,Šv. Luko,st. luke,bentleyville,luko,,43,merged,,1994,candidate-137,,Washington,
